Year,Sector,Sub Sector,Organization,Operation,Operation Type,Address,City,Postal Code,GHG Emissions (kg),Energy Intensity (eWh/HDD/sq. ft)
2012,Public Hospital,Acute/Chronic Hospital,Alexandra Hospital,Alexandra Hospital,Facilities used for hospital purposes,29 Noxon Street,Ingersoll,N5C3V6,527560.0021,20.55437561
2012,Public Hospital,Acute/Chronic Hospital,Alexandra Hospital,Alexandra Hospital,Administrative offices and related facilities,29 Noxon Street,Ingersoll,N5C3V6,431640.0017,20.55437561
2012,Public Hospital,Acute/Chronic Hospital,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,Facilities used for hospital purposes,20260 County Road 43,Alexandria,K0C1A0,586529.9748,19.29988744
2012,Public Hospital,Acute/Chronic Hospital,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,Administrative offices and related facilities,20260 County Road 43,Alexandria,K0C1A0,45449.45592,19.30053858
2012,Public Hospital,Acute/Chronic Hospital,Alliston Stevenson Memorial,Mental Health Centre,Facilities used for hospital purposes,200 Fletcher Crescent,Alliston,L9R1W7,4122.572058,5.263386725
2012,Public Hospital,Acute/Chronic Hospital,Alliston Stevenson Memorial,Stevenson Memorial Hospital,Facilities used for hospital purposes,200 Fletcher Crescent,Alliston,L9R1W7,790018.8493,27.70727621
2012,Public Hospital,Acute/Chronic Hospital,Alliston Stevenson Memorial,Mental Health Centre,Administrative offices and related facilities,200 Fletcher Crescent,Alliston,L9R1W7,16490.28823,5.263386725
2012,Public Hospital,Acute/Chronic Hospital,Alliston Stevenson Memorial,Stevenson Memorial Hospital,Administrative offices and related facilities,200 Fletcher Crescent,Alliston,L9R1W7,197504.7123,27.70727621
2012,Public Hospital,Acute/Chronic Hospital,Almonte General Hospital,Almonte General Hospital,Facilities used for hospital purposes,75 Spring Street,Almonte,K0A1A0,518260.2715,13.58022776
2012,Public Hospital,Acute/Chronic Hospital,Almonte General Hospital,Hospital Admin,Administrative offices and related facilities,75 Spring Street,Almonte,K0A1A0,33251.8836,12.70923312
2012,Public Hospital,Acute/Chronic Hospital,Arnprior and District Memorial,Arnprior and District Memorial Hospital,Facilities used for hospital purposes,350 John StreetN,Arnprior,K7S2P6,1180841.545,20.3111362
2012,Public Hospital,Acute/Chronic Hospital,Atikokan General Hospital,Atikokan General Hospital,Facilities used for hospital purposes,120 Dorothy Street,Atikokan,P0T1C0,80217.98624,2.812489726
2012,Public Hospital,Acute/Chronic Hospital,Atikokan General Hospital,Atikokan General Hospital,Administrative offices and related facilities,120 Dorothy Street,Atikokan,P0T1C0,16508.50712,18.16092568
2012,Public Hospital,Acute Hospital,Barrie Royal Victoria Regional Health Centre,Royal Victoria Regional Health Centre,Facilities used for hospital purposes,201 Georgian Drive,Barrie,L4M6M2,9429328.934,23.43811309
2012,Public Hospital,Acute Hospital,Barrie Royal Victoria Regional Health Centre,Rotary Place,Administrative offices and related facilities,201 Georgian Drive,Barrie,L4M6M2,220236.8669,7.098391029
2012,Public Hospital,Acute/Chronic Hospital,Barry's Bay St. Frances Memorial Hospital,Medical Centre,Facilities used for hospital purposes,21 St. Francis Memorial Drive,Barry's Bay,K0J1B0,36621.49096,3.787461677
2012,Public Hospital,Acute/Chronic Hospital,Barry's Bay St. Frances Memorial Hospital,St. Francis Memorial Hospital,Facilities used for hospital purposes,7 St. Francis Memorial Drive,Barry's Bay,K0J1B0,274615.8291,7.946641661
2012,Public Hospital,Acute/Chronic Hospital,Barry's Bay St. Frances Memorial Hospital,Rainbow Valley Community Health Centre,Administrative offices and related facilities,49 Mill Street,Killaloe,K0J2A0,9611.991952,9.197129436
2012,Public Hospital,Acute/Chronic Hospital,Barry's Bay St. Frances Memorial Hospital,St. Francis Memorial Hospital (9 Memorial),Administrative offices and related facilities,9 Francis Memorial Drive,Barry's Bay,K0J1B0,4388.65272,4.082049306
2012,Public Hospital,Acute/Chronic Hospital,Belleville Quinte Healthcare Corporation,Belleville General Hospital,Facilities used for hospital purposes,265 Dundas St. E.,Belleville,K8N5A9,6295389.435,15.69118989
2012,Public Hospital,Acute/Chronic Hospital,Belleville Quinte Healthcare Corporation,Prince Edward County Memeorial Hospital,Facilities used for hospital purposes,403 Main St. PO Box 1900,Picton,K0K2T0,501400.4701,14.46191096
2012,Public Hospital,Acute/Chronic Hospital,Belleville Quinte Healthcare Corporation,Trenton Memorial Hospital,Facilities used for hospital purposes,242 Dundas St. E.,Trenton,K8V5S6,1345185.301,14.17524746
2012,Public Hospital,Acute/Chronic Hospital,Blind River District Health Centre,Blind River District Health Centre,Facilities used for hospital purposes,525 Causley Street,Blind River,P0R1B0,876732.2882,11.89475309
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Brampton Civic Hospital,Facilities used for hospital purposes,2100 Bovaird Drive East,Brampton,L6R3S7,14996998.16,26.21952836
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Etobicoke General Hospital,Facilities used for hospital purposes,101 Humber College Blvd,Etobicoke,M9V1R8,6366212.451,32.59618672
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Brampton Civic Hospital,Administrative offices and related facilities,2100 Bovaird Drive East,Brampton,L6R3S7,789315.7331,17.01965957
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Chemical Detox Centre,Administrative offices and related facilities,135 McLaughlin Rd S,Brampton,L6Y2C7,67691.0268,13.14902104
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Etobicoke General Hospital,Administrative offices and related facilities,101 Humber College Blvd,Etobicoke,M9V1R8,335063.8624,21.15892904
2012,Public Hospital,Acute/Chronic Hospital,Brampton William Osler Health System,Medical Office Building,Administrative offices and related facilities,89 Humber College Blvd,Etobicoke,M9V4B8,94038.70888,7.322698106
